,id,title,tags
63,tt5095030,Ant-Man and the Wasp,"['As', 'Scott', 'Lang', 'balances', 'being', 'both', 'a', 'superhero', 'and', 'a', 'father,', 'Hope', 'van', 'Dyne', 'and', 'Dr.', 'Hank', 'Pym', 'present', 'an', 'urgent', 'new', 'mission', 'that', 'finds', 'the', 'Ant-Man', 'fighting', 'alongside', 'The', 'Wasp', 'to', 'uncover', 'secrets', 'from', 'their', 'past.', 'PaulRudd', 'EvangelineLilly', 'MichaelPeña', 'WaltonGoggins', 'PeytonReed']"
66,tt6644200,A Quiet Place,"['In', 'a', 'post-apocalyptic', 'world,', 'a', 'family', 'is', 'forced', 'to', 'live', 'in', 'silence', 'while', 'hiding', 'from', 'monsters', 'with', 'ultra-sensitive', 'hearing.', 'EmilyBlunt', 'JohnKrasinski', 'MillicentSimmonds', 'NoahJupe', 'JohnKrasinski']"
68,tt0083658,Blade Runner,"['A', 'blade', 'runner', 'must', 'pursue', 'and', 'terminate', 'four', 'replicants', 'who', 'stole', 'a', 'ship', 'in', 'space', 'and', 'have', 'returned', 'to', 'Earth', 'to', 'find', 'their', 'creator.', 'HarrisonFord', 'RutgerHauer', 'SeanYoung', 'EdwardJamesOlmos', 'RidleyScott']"
69,tt3748528,Rogue One: A Star Wars Story,"['In', 'a', 'time', 'of', 'conflict,', 'a', 'group', 'of', 'unlikely', 'heroes', 'band', 'together', 'on', 'a', 'mission', 'to', 'steal', 'the', 'plans', 'to', 'the', 'Death', 'Star,', 'the', ""Empire's"", 'ultimate', 'weapon', 'of', 'destruction.', 'FelicityJones', 'DiegoLuna', 'AlanTudyk', 'DonnieYen', 'GarethEdwards']"
70,tt0088247,The Terminator,"['A', 'human', 'soldier', 'is', 'sent', 'from', '2029', 'to', '1984', 'to', 'stop', 'an', 'almost', 'indestructible', 'cyborg', 'killing', 'machine,', 'sent', 'from', 'the', 'same', 'year,', 'which', 'has', 'been', 'programmed', 'to', 'execute', 'a', 'young', 'woman', 'whose', 'unborn', 'son', 'is', 'the', 'key', 'to', ""humanity's"", 'future', 'salvation.', 'ArnoldSchwarzenegger', 'LindaHamilton', 'MichaelBiehn', 'PaulWinfield', 'JamesCameron']"
71,tt0103064,Terminator 2: Judgment Day,"['A', 'cyborg,', 'identical', 'to', 'the', 'one', 'who', 'failed', 'to', 'kill', 'Sarah', 'Connor,', 'must', 'now', 'protect', 'her', '10-year', 'old', 'son', 'John', 'from', 'an', 'even', 'more', 'advanced', 'and', 'powerful', 'cyborg.', 'ArnoldSchwarzenegger', 'LindaHamilton', 'EdwardFurlong', 'RobertPatrick', 'JamesCameron']"
72,tt0470752,Ex Machina,"['A', 'young', 'programmer', 'is', 'selected', 'to', 'participate', 'in', 'a', 'ground-breaking', 'experiment', 'in', 'synthetic', 'intelligence', 'by', 'evaluating', 'the', 'human', 'qualities', 'of', 'a', 'highly', 'advanced', 'humanoid', 'A.I.', 'AliciaVikander', 'DomhnallGleeson', 'OscarIsaac', 'SonoyaMizuno', 'AlexGarland']"
74,tt4633694,Spider-Man: Into the Spider-Verse,"['Teen', 'Miles', 'Morales', 'becomes', 'the', 'Spider-Man', 'of', 'his', 'universe,', 'and', 'must', 'join', 'with', 'five', 'spider-powered', 'individuals', 'from', 'other', 'dimensions', 'to', 'stop', 'a', 'threat', 'for', 'all', 'realities.', 'ShameikMoore', 'JakeJohnson', 'HaileeSteinfeld', 'MahershalaAli', 'BobPersichetti', 'PeterRamsey', 'RodneyRothman']"
75,tt1677720,Ready Player One,"['When', 'the', 'creator', 'of', 'a', 'virtual', 'reality', 'called', 'the', 'OASIS', 'dies,', 'he', 'makes', 'a', 'posthumous', 'challenge', 'to', 'all', 'OASIS', 'users', 'to', 'find', 'his', 'Easter', 'Egg,', 'which', 'will', 'give', 'the', 'finder', 'his', 'fortune', 'and', 'control', 'of', 'his', 'world.', 'TyeSheridan', 'OliviaCooke', 'BenMendelsohn', 'LenaWaithe', 'StevenSpielberg']"
76,tt0145487,Spider-Man,"['After', 'being', 'bitten', 'by', 'a', 'genetically-modified', 'spider,', 'a', 'shy', 'teenager', 'gains', 'spider-like', 'abilities', 'that', 'he', 'uses', 'to', 'fight', 'injustice', 'as', 'a', 'masked', 'superhero', 'and', 'face', 'a', 'vengeful', 'enemy.', 'TobeyMaguire', 'KirstenDunst', 'WillemDafoe', 'JamesFranco', 'SamRaimi']"
77,tt0090605,Aliens,"['Fifty-seven', 'years', 'after', 'surviving', 'an', 'apocalyptic', 'attack', 'aboard', 'her', 'space', 'vessel', 'by', 'merciless', 'space', 'creatures,', 'Officer', 'Ripley', 'awakens', 'from', 'hyper-sleep', 'and', 'tries', 'to', 'warn', 'anyone', 'who', 'will', 'listen', 'about', 'the', 'predators.', 'SigourneyWeaver', 'MichaelBiehn', 'CarrieHenn', 'PaulReiser', 'JamesCameron']"
79,tt0119116,The Fifth Element,"['In', 'the', 'colorful', 'future,', 'a', 'cab', 'driver', 'unwittingly', 'becomes', 'the', 'central', 'figure', 'in', 'the', 'search', 'for', 'a', 'legendary', 'cosmic', 'weapon', 'to', 'keep', 'Evil', 'and', 'Mr.', 'Zorg', 'at', 'bay.', 'BruceWillis', 'MillaJovovich', 'GaryOldman', 'IanHolm', 'LucBesson']"
