,id,title,tags
53,tt0441773,Kung Fu Panda,"['To', ""everyone's"", 'surprise,', 'including', 'his', 'own,', 'Po,', 'an', 'overweight,', 'clumsy', 'panda,', 'is', 'chosen', 'as', 'protector', 'of', 'the', 'Valley', 'of', 'Peace.', 'His', 'suitability', 'will', 'soon', 'be', 'tested', 'as', 'the', ""valley's"", 'arch-enemy', 'is', 'on', 'his', 'way.', 'JackBlack', 'IanMcShane', 'AngelinaJolie', 'DustinHoffman', 'MarkOsborne', 'JohnStevenson']"
54,tt0091369,Labyrinth,"['Sixteen-year-old', 'Sarah', 'is', 'given', 'thirteen', 'hours', 'to', 'solve', 'a', 'labyrinth', 'and', 'rescue', 'her', 'baby', 'brother', 'Toby', 'when', 'her', 'wish', 'for', 'him', 'to', 'be', 'taken', 'away', 'is', 'granted', 'by', 'the', 'Goblin', 'King', 'Jareth.', 'DavidBowie', 'JenniferConnelly', 'TobyFroud', 'ShelleyThompson', 'JimHenson']"
55,tt0347149,Howl's Moving Castle,"['When', 'an', 'unconfident', 'young', 'woman', 'is', 'cursed', 'with', 'an', 'old', 'body', 'by', 'a', 'spiteful', 'witch,', 'her', 'only', 'chance', 'of', 'breaking', 'the', 'spell', 'lies', 'with', 'a', 'self-indulgent', 'yet', 'insecure', 'young', 'wizard', 'and', 'his', 'companions', 'in', 'his', 'legged,', 'walking', 'castle.', 'ChiekoBaisho', 'TakuyaKimura', 'TatsuyaGashûin', 'AkihiroMiwa', 'HayaoMiyazaki']"
56,tt2380307,Coco,"['Aspiring', 'musician', 'Miguel,', 'confronted', 'with', 'his', ""family's"", 'ancestral', 'ban', 'on', 'music,', 'enters', 'the', 'Land', 'of', 'the', 'Dead', 'to', 'find', 'his', 'great-great-grandfather,', 'a', 'legendary', 'singer.', 'AnthonyGonzalez', 'GaelGarcíaBernal', 'BenjaminBratt', 'AlannaUbach', 'LeeUnkrich', 'AdrianMolina']"
57,tt0298148,Shrek 2,"['Shrek', 'and', 'Fiona', 'travel', 'to', 'the', 'Kingdom', 'of', 'Far', 'Far', 'Away,', 'where', ""Fiona's"", 'parents', 'are', 'King', 'and', 'Queen,', 'to', 'celebrate', 'their', 'marriage.', 'When', 'they', 'arrive,', 'they', 'find', 'they', 'are', 'not', 'as', 'welcome', 'as', 'they', 'thought', 'they', 'would', 'be.', 'MikeMyers', 'EddieMurphy', 'CameronDiaz', 'JulieAndrews', 'AndrewAdamson', 'KellyAsbury', 'ConradVernon']"
58,tt0432283,Fantastic Mr. Fox,"['An', 'urbane', 'fox', 'cannot', 'resist', 'returning', 'to', 'his', 'farm', 'raiding', 'ways', 'and', 'then', 'must', 'help', 'his', 'community', 'survive', 'the', ""farmers'"", 'retaliation.', 'GeorgeClooney', 'MerylStreep', 'BillMurray', 'JasonSchwartzman', 'WesAnderson']"
59,tt0059742,The Sound of Music,"['A', 'young', 'novice', 'is', 'sent', 'by', 'her', 'convent', 'in', '1930s', 'Austria', 'to', 'become', 'a', 'governess', 'to', 'the', 'seven', 'children', 'of', 'a', 'widowed', 'naval', 'officer.', 'JulieAndrews', 'ChristopherPlummer', 'EleanorParker', 'RichardHaydn', 'RobertWise']"
61,tt1979376,Toy Story 4,"['When', 'a', 'new', 'toy', 'called', '""Forky""', 'joins', 'Woody', 'and', 'the', 'gang,', 'a', 'road', 'trip', 'alongside', 'old', 'and', 'new', 'friends', 'reveals', 'how', 'big', 'the', 'world', 'can', 'be', 'for', 'a', 'toy.', 'TomHanks', 'TimAllen', 'AnniePotts', 'TonyHale', 'JoshCooley']"
62,tt0119282,Hercules,"['The', 'son', 'of', 'Zeus', 'and', 'Hera', 'is', 'stripped', 'of', 'his', 'immortality', 'as', 'an', 'infant', 'and', 'must', 'become', 'a', 'true', 'hero', 'in', 'order', 'to', 'reclaim', 'it.', 'TateDonovan', 'SusanEgan', 'JamesWoods', 'BarbaraBarrie', 'RonClements', 'JohnMusker']"
64,tt0083866,E.T.,"['A', 'troubled', 'child', 'summons', 'the', 'courage', 'to', 'help', 'a', 'friendly', 'alien', 'escape', 'from', 'Earth', 'and', 'return', 'to', 'his', 'home', 'planet.', 'HenryThomas', 'DrewBarrymore', 'PeterCoyote', 'DeeWallace', 'StevenSpielberg']"
