,id,title,tags
78,tt0208092,Snatch,"['Unscrupulous', 'boxing', 'promoters,', 'violent', 'bookmakers,', 'a', 'Russian', 'gangster,', 'incompetent', 'amateur', 'robbers', 'and', 'supposedly', 'Jewish', 'jewelers', 'fight', 'to', 'track', 'down', 'a', 'priceless', 'stolen', 'diamond.', 'JasonStatham', 'BradPitt', 'StephenGraham', 'VinnieJones', 'GuyRitchie']"
79,tt4425200,John Wick: Chapter 2,"['After', 'returning', 'to', 'the', 'criminal', 'underworld', 'to', 'repay', 'a', 'debt,', 'John', 'Wick', 'discovers', 'that', 'a', 'large', 'bounty', 'has', 'been', 'put', 'on', 'his', 'life.', 'KeanuReeves', 'RiccardoScamarcio', 'IanMcShane', 'RubyRose', 'ChadStahelski']"
80,tt0087843,Once Upon a Time in America,"['A', 'former', 'Prohibition-era', 'Jewish', 'gangster', 'returns', 'to', 'the', 'Lower', 'East', 'Side', 'of', 'Manhattan', '35', 'years', 'later,', 'where', 'he', 'must', 'once', 'again', 'confront', 'the', 'ghosts', 'and', 'regrets', 'of', 'his', 'old', 'life.', 'RobertDeNiro', 'JamesWoods', 'ElizabethMcGovern', 'TreatWilliams', 'SergioLeone']"
81,tt0120586,American History X,"['A', 'former', 'neo-nazi', 'skinhead', 'tries', 'to', 'prevent', 'his', 'younger', 'brother', 'from', 'going', 'down', 'the', 'same', 'wrong', 'path', 'that', 'he', 'did.', 'EdwardNorton', 'EdwardFurlong', ""BeverlyD'Angelo"", 'JenniferLien', 'TonyKaye']"
82,tt1800241,American Hustle,"['A', 'con', 'man,', 'Irving', 'Rosenfeld,', 'along', 'with', 'his', 'seductive', 'partner', 'Sydney', 'Prosser,', 'is', 'forced', 'to', 'work', 'for', 'a', 'wild', 'F.B.I.', 'Agent,', 'Richie', 'DiMaso,', 'who', 'pushes', 'them', 'into', 'a', 'world', 'of', 'Jersey', 'powerbrokers', 'and', 'the', 'Mafia.', 'ChristianBale', 'AmyAdams', 'BradleyCooper', 'JenniferLawrence', 'DavidO.Russell']"
85,tt0110005,Heavenly Creatures,"['Two', 'teenage', 'girls', 'share', 'a', 'unique', 'bond;', 'their', 'parents,', 'concerned', 'that', 'the', 'friendship', 'is', 'too', 'intense,', 'separate', 'them,', 'and', 'the', 'girls', 'take', 'revenge.', 'MelanieLynskey', 'KateWinslet', 'SarahPeirse', 'DianaKent', 'PeterJackson']"
86,tt0257044,Road to Perdition,"['A', 'mob', ""enforcer's"", 'son', 'in', '1930s', 'Illinois', 'witnesses', 'a', 'murder,', 'forcing', 'him', 'and', 'his', 'father', 'to', 'take', 'to', 'the', 'road,', 'and', 'his', 'father', 'down', 'a', 'path', 'of', 'redemption', 'and', 'revenge.', 'TomHanks', 'TylerHoechlin', 'RobMaxey', 'LiamAiken', 'SamMendes']"
87,tt15301048,"Argentina, 1985","['A', 'team', 'of', 'lawyers', 'takes', 'on', 'the', 'heads', 'of', ""Argentina's"", 'bloody', 'military', 'dictatorship', 'during', 'the', '1980s', 'in', 'a', 'battle', 'against', 'odds', 'and', 'a', 'race', 'against', 'time.', 'RicardoDarín', 'GinaMastronicola', 'FranciscoBertín', 'SantiagoArmasEstevarena', 'SantiagoMitre']"
88,tt0088930,Clue,"['Six', 'guests', 'are', 'anonymously', 'invited', 'to', 'a', 'strange', 'mansion', 'for', 'dinner,', 'but', 'after', 'their', 'host', 'is', 'killed,', 'they', 'must', 'cooperate', 'with', 'the', 'staff', 'to', 'identify', 'the', 'murderer', 'as', 'the', 'bodies', 'pile', 'up.', 'EileenBrennan', 'TimCurry', 'MadelineKahn', 'ChristopherLloyd', 'JonathanLynn']"
89,tt3890160,Baby Driver,"['After', 'being', 'coerced', 'into', 'working', 'for', 'a', 'crime', 'boss,', 'a', 'young', 'getaway', 'driver', 'finds', 'himself', 'taking', 'part', 'in', 'a', 'heist', 'doomed', 'to', 'fail.', 'AnselElgort', 'JonBernthal', 'JonHamm', 'EizaGonzález', 'EdgarWright']"
