,id,title,tags
90,tt6264654,Free Guy,"['A', 'bank', 'teller', 'discovers', 'that', ""he's"", 'actually', 'an', 'NPC', 'inside', 'a', 'brutal,', 'open', 'world', 'video', 'game.', 'RyanReynolds', 'JodieComer', 'TaikaWaititi', 'LilRelHowery', 'ShawnLevy']"
91,tt13131232,Mission Majnu,"['In', 'the', '1970s,', 'an', 'undercover', 'Indian', 'spy', 'takes', 'on', 'a', 'deadly', 'mission', 'to', 'expose', 'a', 'covert', 'nuclear', 'weapons', 'program', 'in', 'the', 'heart', 'of', 'Pakistan.', 'SidharthMalhotra', 'RashmikaMandanna', 'ParmeetSethi', 'ZakirHussain', 'ShantanuBagchi']"
92,tt0076759,Star Wars,"['Luke', 'Skywalker', 'joins', 'forces', 'with', 'a', 'Jedi', 'Knight,', 'a', 'cocky', 'pilot,', 'a', 'Wookiee', 'and', 'two', 'droids', 'to', 'save', 'the', 'galaxy', 'from', 'the', ""Empire's"", 'world-destroying', 'battle', 'station,', 'while', 'also', 'attempting', 'to', 'rescue', 'Princess', 'Leia', 'from', 'the', 'mysterious', 'Darth', 'Vader.', 'MarkHamill', 'HarrisonFord', 'CarrieFisher', 'AlecGuinness', 'GeorgeLucas']"
94,tt8579674,1917,"['April', '6th,', '1917.', 'As', 'an', 'infantry', 'battalion', 'assembles', 'to', 'wage', 'war', 'deep', 'in', 'enemy', 'territory,', 'two', 'soldiers', 'are', 'assigned', 'to', 'race', 'against', 'time', 'and', 'deliver', 'a', 'message', 'that', 'will', 'stop', '1,600', 'men', 'from', 'walking', 'straight', 'into', 'a', 'deadly', 'trap.', 'Dean-CharlesChapman', 'GeorgeMacKay', 'DanielMays', 'ColinFirth', 'SamMendes']"
95,tt0113189,GoldenEye,"['Years', 'after', 'a', 'friend', 'and', 'fellow', '00', 'agent', 'is', 'killed', 'on', 'a', 'joint', 'mission,', 'a', 'Russian', 'crime', 'syndicate', 'steals', 'a', 'secret', 'space-based', 'weapons', 'program', 'known', 'as', '""GoldenEye""', 'and', 'James', 'Bond', 'has', 'to', 'stop', 'them', 'from', 'using', 'it.', 'PierceBrosnan', 'SeanBean', 'IzabellaScorupco', 'FamkeJanssen', 'MartinCampbell']"
96,tt3397884,Sicario,"['An', 'idealistic', 'FBI', 'agent', 'is', 'enlisted', 'by', 'a', 'government', 'task', 'force', 'to', 'aid', 'in', 'the', 'escalating', 'war', 'against', 'drugs', 'at', 'the', 'border', 'area', 'between', 'the', 'U.S.', 'and', 'Mexico.', 'EmilyBlunt', 'JoshBrolin', 'BenicioDelToro', 'JonBernthal', 'DenisVilleneuve']"
98,tt0364569,Oldboy,"['After', 'being', 'kidnapped', 'and', 'imprisoned', 'for', 'fifteen', 'years,', 'Oh', 'Dae-Su', 'is', 'released,', 'only', 'to', 'find', 'that', 'he', 'must', 'find', 'his', 'captor', 'in', 'five', 'days.', 'ChoiMin-sik', 'YooJi-tae', 'KangHye-jeong', 'KimByeong-Ok', 'ParkChan-wook']"
99,tt4154756,Avengers: Infinity War,"['The', 'Avengers', 'and', 'their', 'allies', 'must', 'be', 'willing', 'to', 'sacrifice', 'all', 'in', 'an', 'attempt', 'to', 'defeat', 'the', 'powerful', 'Thanos', 'before', 'his', 'blitz', 'of', 'devastation', 'and', 'ruin', 'puts', 'an', 'end', 'to', 'the', 'universe.', 'RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo', 'ChrisEvans', 'AnthonyRusso', 'JoeRusso']"
101,tt0116367,From Dusk Till Dawn,"['Two', 'criminals', 'and', 'their', 'hostages', 'unknowingly', 'seek', 'temporary', 'refuge', 'in', 'a', 'truck', 'stop', 'populated', 'by', 'vampires,', 'with', 'chaotic', 'results.', 'HarveyKeitel', 'GeorgeClooney', 'JulietteLewis', 'QuentinTarantino', 'RobertRodriguez']"
103,tt5463162,Deadpool 2,"['Foul-mouthed', 'mutant', 'mercenary', 'Wade', 'Wilson', '(a.k.a.', 'Deadpool)', 'assembles', 'a', 'team', 'of', 'fellow', 'mutant', 'rogues', 'to', 'protect', 'a', 'young', 'boy', 'with', 'supernatural', 'abilities', 'from', 'the', 'brutal,', 'time-traveling', 'cyborg', 'Cable.', 'RyanReynolds', 'JoshBrolin', 'MorenaBaccarin', 'JulianDennison', 'DavidLeitch']"
