,id,title,description,director,cast,rating
19801,tt5602872,Snuff,"Simon, an aspiring filmmaker has been laid off from three different jobs. Down on his luck he gets a call from someone offering him a chance to be a cinematographer for a movie with a huge ...                See full summary »","Steve Hasse, 
Dan Lang","John Vella, 
Tyger Sharee, 
Steve Hasse, 
Dayna Christy",8.4
19891,tt0426425,Chosen,"JAYLEE STANTON seems to always be down on her luck. Her love life with boyfriend WADE MARSTERS is ailing due to the haunting effects of the death of her fiancé, TREY NORTON, three years ...                See full summary »",Bren Allison,"Bren Allison, 
Cheri Christian, 
Chris Burns, 
Patrick Del Visco",8.5
19902,tt14391264,Lucifer'e and The Great Controversy,"LUCIFER'E dreamed of introducing her new magic world in the Earth and wished all the men and earth dweller creatures will bow down to witchcraft, that didn't succeed because Angel Joe came to the rescue.",Joseph Squellati,"Janeth Mora, 
Josephs Quartzy, 
Joseph Quinn, 
Tamil",9.0
20063,tt1402530,Na Ninna Bidalare,"Krishna refuses to accept Kamini's love for him. But when Kamini dies and her ghost possesses Krishna, his wife Gayatri tries to save him from this situation",Vijay,"T.N. Balakrishna, 
Leelavathi, 
Anant Nag, 
K.S. Ashwath",8.1
20126,tt3919096,Son of Frankenstein,"The late Dr. Frankenstein's son returns to the ancestral estate in Germany, where he revives his father's infamous creation. Mayhem ensues.",Scott Allen Nollen,"Todd Jacobsen, 
Troy Jacobsen, 
Tyler Jacobsen, 
Scott Allen Nollen",8.2
20132,tt1745649,1MC: Something of Vengeance,"Sarah Volkova, (aka 1MC), returns to where it all began, with one thing in mind...revenge.",Martyn Park,"Liliya May, 
Laurence Coy, 
Terry Serio, 
James Saivanidis",8.3
20237,tt3135540,Heavy Water,"Home after 5 years in prison, River must choose between his broken family and a strange, 'perfect' drug from an old friend.",Andrew Donoho,"Carter Jenkins, 
Jayson Warner Smith, 
Wes Watson, 
Sidney Allison",8.7
20369,tt7600566,Dark Ditties Presents 'Finders Keepers',Two inept poacher brothers stumble upon a barely breathing man with a locked briefcase in the woods.,Adam Evans,"Kenneth Cranham, 
Mark Wingett, 
Corin Silva, 
Bruce Jones",9.2
20408,tt15249650,Gravedigger Dave's Anthology Festival,Join Gravedigger Dave for 90 minutes of the best spooky short films from around the world.,"Corie Anderson, 
Lindsei Barros, 
Christopher Desiderio, 
David Dincer, 
Wei Geng, 
Keith Tyler Hopkins, 
Kamilla Norussova, 
Ilya Polyakov, 
Franz Ufer, 
Jason Wright","Robel Arega, 
Manik Bahl, 
Tony Bartele, 
Freddie Basnight",8.8
20409,tt10744836,Aahvaan,A group of boys and girls go to a forest for a fun picnic. They enjoy a lot but humans have very bad qualities like jealousy and greed which make them demons but they don't know that this is a forest.,Amrit Raj Thakur,"Amit Ranjan, 
Arya Chaturvedi, 
Muskaan Sinha, 
Jagriti Tiwadi",8.2
20436,tt2845434,Leolex,An eccentric man mistakenly locks himself out of his apartment and wanders the streets at night without his medication.,"Doug Gerber, 
Caleb Pennypacker","James Quall, 
David Liebe Hart",8.2
20531,tt2572014,Blood of the Witch: The Complete Film,"Originally conceived as a trilogy of short silent films, Blood of the Witch: The Complete Film is a new edit of all three films put together into one stand-alone piece. It follows the ...                See full summary »",Casey T. Malone,"Liz Owens, 
Kellie Ann Gregg, 
Tim Haney, 
Mike Thompson",8.4
20656,tt6155650,Shucks,"Focusing on a simplistically ritualistic man who after an attempt to escape his habitual flaws, passionately, yet unknowingly manufacturers himself into that which he chooses as consumption, eventually and ultimately consuming him.",Ty Brueilly,"Koba Brueilly, 
Megan Brueilly, 
Ty Brueilly, 
Austin Rich",8.6
20701,tt1218035,Nightlife,Being a vampire kinda sucks. At least that's the premise of this mockumentary comedy in which a small film crew follows six of the undead in their night-to-night lives.,Timothy Sanderson,"James Brownlee, 
Maria Collins, 
Jessica Dill, 
Paul Jacob Evans",8.2
20845,tt5655912,Coffee and Blood,A mysterious woman moves to a small town to open up a coffee-shop reserved for vampires.,David Lussier,"Melissa Drouin, 
Julianna Dzhyma, 
Vicki Murhead, 
Martin Simard",8.0
21030,tt9211200,Project Dead Zone,"Following a spike in paranormal activity at the Winchester Mystery House, Xfinity launched Project Dead Zone, a live paranormal investigation of the largest haunted house in the country. ...                See full summary »",Jason Zada,"Stephanie Altholz, 
Dana Blasingame, 
Blake Hansen, 
Chris Marsol",8.2
21192,tt10234010,Dark Ditties Presents 'Dad',"David is a young man who is fighting for survival in a world destroyed by a Zombie apocalypse, caused by The Risen Word Cult Leader Tyberius Krane. Lost in the woods with his father Terry ...                See full summary »",Adam Evans,"Mark Wingett, 
Ian Beattie, 
Michael Higgs, 
Ian Gelder",8.7
21376,tt9089852,El Pollo Es Loco,"A couple of kids in high school rent a book called the pollonomicon, from the school library in hopes to possess an ancient demon to help them combat some bullies picking on them during ...                See full summary »",Stephen Grischuk,"David Grischuk, 
Nicholas Grischuk, 
Beverly Johnson, 
Shane Kepler",8.5
21592,tt6710618,South African Spook Hunter,"South African Spook Hunter Matty Vans hires a film crew to document his paranormal ghost hunting business. Just as they tire of following him around to find no evidence of the paranormal, ...                See full summary »","Kathryn MacCorgarry Gray, 
Daniel Rands","Matt van Niftrik, 
Taryn Kay, 
Ashley Winter, 
Ella Kean",8.3
21670,tt4448446,Zhigrana,"Christine Summers has been working in an NGO in Nepal for the past four years. Her boss assigns her to do a last mission in Ruku to collect information of the life outside of the cities, ...                See full summary »",Pasang Lama,"Sagar Adhikari, 
Subash Basnet, 
Hari Prasad Bhattarai, 
Patricia Buigenet",8.3
21676,tt1552189,Camera Obscura,A woman grows to adulthood believing that she is unattractive until a nomadic photographer's images allow her to see the beauty within.,Drew Daywalt,"Reagan Dale Neis, 
Timm Sharp, 
Donnie Jeffcoat, 
Jack Klugman",8.5
